date,value,item,name
20170327,3437.14,level,STOXX50E
20170328,3465.07,level,STOXX50E
20170329,3475.27,level,STOXX50E
20170330,3481.58,level,STOXX50E
20170331,3500.93,level,STOXX50E
20170403,3472.94,level,STOXX50E
20170404,3481.66,level,STOXX50E
20170405,3472.58,level,STOXX50E
20170406,3489.57,level,STOXX50E
20170407,3495.8,level,STOXX50E
20170410,3480.44,level,STOXX50E
20170411,3470.04,level,STOXX50E
20170412,3468.51,level,STOXX50E
20170413,3448.26,level,STOXX50E
20170418,3409.78,level,STOXX50E
20170419,3420.99,level,STOXX50E
20170420,3440.03,level,STOXX50E
20170421,3440.27,level,STOXX50E
20170424,3577.38,level,STOXX50E
20170425,3583.16,level,STOXX50E
20170426,3578.71,level,STOXX50E
20170427,3563.29,level,STOXX50E
20170428,3559.59,level,STOXX50E
20170501,3559.59,level,STOXX50E
20170502,3578.21,level,STOXX50E
20170503,3586.25,level,STOXX50E
20170504,3627.88,level,STOXX50E
20170505,3658.79,level,STOXX50E
20170508,3642.11,level,STOXX50E
20170509,3649.08,level,STOXX50E
20170510,3645.74,level,STOXX50E
20170511,3623.55,level,STOXX50E
20170512,3637.52,level,STOXX50E
20170515,3641.88,level,STOXX50E
20170516,3641.89,level,STOXX50E
20170517,3584.83,level,STOXX50E
20170518,3562.22,level,STOXX50E
20170519,3587.01,level,STOXX50E
20170522,3576.53,level,STOXX50E
20170523,3595.03,level,STOXX50E
20170524,3586.62,level,STOXX50E
20170525,3584.55,level,STOXX50E
20170526,3579.02,level,STOXX50E
20170529,3578.95,level,STOXX50E
20170530,3561.22,level,STOXX50E
20170531,3554.59,level,STOXX50E
20170601,3567.02,level,STOXX50E
20170602,3591.82,level,STOXX50E
20170605,3579.55,level,STOXX50E
20170606,3554.18,level,STOXX50E
20170607,3548.84,level,STOXX50E
20170608,3563.88,level,STOXX50E
20170609,3586.07,level,STOXX50E
20170612,3543.95,level,STOXX50E
20170613,3557.87,level,STOXX50E
20170614,3547.15,level,STOXX50E
20170615,3525.46,level,STOXX50E
20170616,3543.88,level,STOXX50E
20170619,3579.58,level,STOXX50E
20170620,3560.66,level,STOXX50E
20170621,3554.35,level,STOXX50E
20170622,3555.76,level,STOXX50E
20170623,3543.68,level,STOXX50E
20170626,3561.76,level,STOXX50E
20170627,3538.32,level,STOXX50E
20170628,3535.7,level,STOXX50E
20170629,3471.33,level,STOXX50E
20170630,3441.88,level,STOXX50E
20170703,3491.81,level,STOXX50E
20170704,3479.47,level,STOXX50E
20170705,3478.41,level,STOXX50E
20170706,3462.06,level,STOXX50E
20170707,3463.84,level,STOXX50E
20170710,3478.06,level,STOXX50E
20170711,3464.48,level,STOXX50E
20170712,3515.23,level,STOXX50E
20170713,3527.83,level,STOXX50E
20170714,3525.94,level,STOXX50E
20170717,3516.35,level,STOXX50E
20170718,3478.68,level,STOXX50E
20170719,3500.28,level,STOXX50E
20170720,3499.49,level,STOXX50E
20170721,3451.71,level,STOXX50E
20170724,3453.17,level,STOXX50E
20170725,3473.54,level,STOXX50E
20170726,3491.19,level,STOXX50E
20170727,3493.14,level,STOXX50E
20170728,3467.73,level,STOXX50E
20170731,3449.36,level,STOXX50E
20170801,3477.39,level,STOXX50E
20170802,3459.32,level,STOXX50E
20170803,3466.37,level,STOXX50E
20170804,3507.41,level,STOXX50E
20170807,3505.8,level,STOXX50E
20170808,3515.63,level,STOXX50E
20170809,3468.45,level,STOXX50E
20170810,3433.54,level,STOXX50E
20170811,3406.34,level,STOXX50E
20170814,3450.66,level,STOXX50E
20170815,3461.91,level,STOXX50E
20170816,3484.57,level,STOXX50E
20170817,3461.97,level,STOXX50E
20170818,3446.03,level,STOXX50E
20170821,3423.53,level,STOXX50E
20170822,3455.59,level,STOXX50E
20170823,3438.63,level,STOXX50E
20170824,3444.73,level,STOXX50E
20170825,3438.55,level,STOXX50E
20170828,3421.03,level,STOXX50E
20170829,3388.22,level,STOXX50E
20170830,3403.71,level,STOXX50E
20170831,3421.47,level,STOXX50E
20170901,3443.88,level,STOXX50E
20170904,3430.42,level,STOXX50E
20170905,3420.86,level,STOXX50E
20170906,3433.8,level,STOXX50E
20170907,3447.66,level,STOXX50E
20170908,3447.69,level,STOXX50E
20170911,3495.19,level,STOXX50E
20170912,3512.56,level,STOXX50E
20170913,3523.14,level,STOXX50E
20170914,3526.48,level,STOXX50E
20170915,3515.55,level,STOXX50E
20170918,3526.74,level,STOXX50E
20170919,3531.18,level,STOXX50E
20170920,3525.55,level,STOXX50E
20170921,3539.59,level,STOXX50E
20170922,3541.42,level,STOXX50E
20170925,3537.81,level,STOXX50E
20170926,3536.38,level,STOXX50E
20170927,3555.17,level,STOXX50E
20170928,3563.64,level,STOXX50E
20170929,3594.85,level,STOXX50E
20171002,3602.69,level,STOXX50E
20171003,3605.73,level,STOXX50E
20171004,3594.91,level,STOXX50E
20171005,3613.54,level,STOXX50E
20171006,3603.32,level,STOXX50E
20171009,3610.5,level,STOXX50E
20171010,3598.79,level,STOXX50E
20171011,3607.39,level,STOXX50E
20171012,3605.54,level,STOXX50E
20171013,3604.55,level,STOXX50E
20171016,3606.27,level,STOXX50E
20171017,3607.77,level,STOXX50E
20171018,3619.65,level,STOXX50E
20171019,3602.08,level,STOXX50E
20171020,3605.09,level,STOXX50E
20171023,3608.87,level,STOXX50E
20171024,3610.69,level,STOXX50E
20171025,3591.46,level,STOXX50E
20171026,3637.2,level,STOXX50E
20171027,3652.23,level,STOXX50E
