date,value,name
20180803,2840.35,SPX
20180806,2850.4,SPX
20180807,2858.45,SPX
20180808,2857.7,SPX
20180809,2853.58,SPX
20180810,2833.28,SPX
20180813,2821.93,SPX
20180814,2839.96,SPX
20180815,2818.37,SPX
20180816,2840.69,SPX
20180817,2850.13,SPX
20180820,2857.05,SPX
20180821,2862.96,SPX
20180822,2861.82,SPX
20180823,2856.98,SPX
20180824,2874.69,SPX
20180827,2896.74,SPX
20180828,2897.52,SPX
20180829,2914.04,SPX
20180830,2901.13,SPX
20180831,2901.52,SPX
20180904,2896.72,SPX
20180905,2888.6,SPX
20180906,2878.05,SPX
20180907,2871.68,SPX
20180910,2877.13,SPX
20180911,2887.89,SPX
20180912,2888.92,SPX
20180913,2904.18,SPX
20180914,2904.98,SPX
20180917,2888.8,SPX
20180918,2904.31,SPX
20180919,2907.95,SPX
20180920,2930.75,SPX
20180921,2929.67,SPX
20180924,2919.37,SPX
20180925,2915.56,SPX
20180926,2905.97,SPX
20180927,2914.0,SPX
20180928,2913.98,SPX
20181001,2924.59,SPX
20181002,2923.43,SPX
20181003,2925.51,SPX
20181004,2901.61,SPX
20181005,2885.57,SPX
20181008,2884.43,SPX
20181009,2880.34,SPX
20181010,2785.68,SPX
20181011,2728.37,SPX
20181012,2767.13,SPX
20181015,2750.79,SPX
20181016,2809.92,SPX
20181017,2809.21,SPX
20181018,2768.78,SPX
20181019,2767.78,SPX
20181022,2755.88,SPX
20181023,2740.69,SPX
20181024,2656.1,SPX
20181025,2705.57,SPX
20181026,2658.69,SPX
20181029,2641.25,SPX
20181030,2682.63,SPX
20181031,2711.74,SPX
20181101,2740.37,SPX
20181102,2723.06,SPX
20181105,2738.31,SPX
20181106,2755.45,SPX
20181107,2813.89,SPX
20181108,2806.83,SPX
20181109,2781.01,SPX
20181112,2726.22,SPX
20181113,2722.18,SPX
20181114,2701.58,SPX
20181115,2730.2,SPX
20181116,2736.27,SPX
20181119,2690.73,SPX
20181120,2641.89,SPX
20181121,2649.93,SPX
20181123,2632.56,SPX
20181126,2673.45,SPX
20181127,2682.17,SPX
20181128,2743.79,SPX
20181129,2737.76,SPX
20181130,2760.17,SPX
20181203,2790.37,SPX
20181204,2700.06,SPX
20181206,2695.95,SPX
20181207,2633.08,SPX
20181210,2637.72,SPX
20181211,2636.78,SPX
20181212,2651.07,SPX
20181213,2650.54,SPX
20181214,2599.95,SPX
20181217,2545.94,SPX
20181218,2546.16,SPX
20181219,2506.96,SPX
20181220,2467.42,SPX
20181221,2416.62,SPX
20161227,118.79,SX7E
20161228,118.19,SX7E
20161229,116.98,SX7E
20161230,117.67,SX7E
20170102,118.72,SX7E
20170103,121.86,SX7E
20170104,122.54,SX7E
20170105,122.22,SX7E
20170106,122.71,SX7E
20170109,120.58,SX7E
20170110,119.87,SX7E
20170111,119.18,SX7E
20170112,118.2,SX7E
20170113,121.11,SX7E
20170116,118.93,SX7E
20170117,118.62,SX7E
20170118,118.13,SX7E
20170119,118.99,SX7E
20170120,119.59,SX7E
20170123,117.58,SX7E
20170124,119.02,SX7E
20170125,123.47,SX7E
20170126,122.81,SX7E
20170127,122.34,SX7E
20170130,119.56,SX7E
20170131,117.87,SX7E
20170201,119.77,SX7E
20170202,119.43,SX7E
20170203,120.78,SX7E
20170206,117.99,SX7E
20170207,115.9,SX7E
20170208,114.32,SX7E
20170209,115.67,SX7E
20170210,113.98,SX7E
20170213,115.38,SX7E
20170214,116.67,SX7E
20170215,118.34,SX7E
20170216,117.25,SX7E
20170217,115.43,SX7E
20170220,115.33,SX7E
20170221,115.31,SX7E
20170222,114.43,SX7E
20170223,113.88,SX7E
20170224,111.98,SX7E
20170227,112.8,SX7E
20170228,113.88,SX7E
20170301,118.34,SX7E
20170302,118.01,SX7E
20170303,120.9,SX7E
20170306,119.37,SX7E
20170307,119.33,SX7E
20170308,120.42,SX7E
20170309,123.22,SX7E
20170310,125.44,SX7E
20170313,125.0,SX7E
20170314,123.07,SX7E
20170315,124.17,SX7E
20170316,125.92,SX7E
20170317,125.85,SX7E
20170320,124.94,SX7E
20170321,125.86,SX7E
20170322,125.11,SX7E
20170323,126.39,SX7E
20170324,125.69,SX7E
20170327,125.17,SX7E
20170328,127.21,SX7E
20170329,126.68,SX7E
20170330,126.76,SX7E
20170331,127.52,SX7E
20170403,124.74,SX7E
20170404,124.47,SX7E
20170405,124.8,SX7E
20170406,125.84,SX7E
20170407,125.95,SX7E
20170410,124.6,SX7E
20170411,123.18,SX7E
20170412,121.92,SX7E
20170413,120.16,SX7E
20170418,118.94,SX7E
20170419,122.37,SX7E
20170420,124.03,SX7E
20170421,125.17,SX7E
20170424,134.39,SX7E
20170425,135.13,SX7E
20170426,134.72,SX7E
20170427,132.36,SX7E
20170428,132.51,SX7E
20170501,132.51,SX7E
20170502,133.91,SX7E
20170503,134.91,SX7E
20170504,137.29,SX7E
20170505,139.87,SX7E
20170508,138.69,SX7E
20170509,137.13,SX7E
20170510,137.11,SX7E
20170511,136.1,SX7E
20170512,136.27,SX7E
20170515,137.65,SX7E
20170516,137.53,SX7E
20170517,133.77,SX7E
20170518,132.49,SX7E
20170519,134.8,SX7E
20170522,133.41,SX7E
20170523,135.16,SX7E
20170524,135.52,SX7E
20170525,135.07,SX7E
20170526,134.19,SX7E
20170529,133.16,SX7E
20170530,131.13,SX7E
20170531,129.63,SX7E
20170601,129.73,SX7E
20170602,129.97,SX7E
20170605,129.42,SX7E
20170606,128.56,SX7E
20170607,129.68,SX7E
20170608,131.95,SX7E
20170609,132.98,SX7E
20170612,131.13,SX7E
20170613,131.52,SX7E
20170614,129.46,SX7E
20170615,129.09,SX7E
20170616,129.03,SX7E
20170619,130.62,SX7E
20170620,129.31,SX7E
20170621,129.48,SX7E
20170622,128.86,SX7E
20170623,127.86,SX7E
20170626,129.27,SX7E
20170627,131.03,SX7E
20170628,133.6,SX7E
20170629,132.83,SX7E
20170630,131.16,SX7E
20170703,135.24,SX7E
20170704,135.37,SX7E
20170705,135.04,SX7E
20170706,136.77,SX7E
20170707,136.25,SX7E
20170710,136.28,SX7E
20170711,135.64,SX7E
20170712,136.09,SX7E
20170713,137.37,SX7E
20170714,136.41,SX7E
20170717,135.85,SX7E
20170718,133.88,SX7E
20170719,133.85,SX7E
20170720,134.08,SX7E
20170721,132.58,SX7E
20170724,133.91,SX7E
20170725,136.28,SX7E
20170726,137.1,SX7E
20170727,137.06,SX7E
20170728,136.66,SX7E
20170731,135.99,SX7E
20170801,137.19,SX7E
20170802,135.74,SX7E
20170803,137.17,SX7E
20170804,138.69,SX7E
20170807,139.54,SX7E
20170808,139.91,SX7E
20170809,137.06,SX7E
20170810,134.99,SX7E
20170811,133.05,SX7E
20170814,135.31,SX7E
20170815,135.9,SX7E
20170816,136.81,SX7E
20170817,134.39,SX7E
20170818,134.48,SX7E
20170821,132.73,SX7E
20170822,133.14,SX7E
20170823,131.8,SX7E
20170824,132.43,SX7E
20170825,132.33,SX7E
20170828,132.01,SX7E
20170829,129.78,SX7E
20170830,130.19,SX7E
20170831,131.42,SX7E
20170901,132.05,SX7E
20170904,131.04,SX7E
20170905,128.93,SX7E
20170906,128.66,SX7E
20170907,127.83,SX7E
20170908,128.81,SX7E
20170911,131.67,SX7E
20170912,133.95,SX7E
20170913,134.58,SX7E
20170914,135.01,SX7E
20170915,133.76,SX7E
20170918,134.29,SX7E
20170919,134.38,SX7E
20170920,133.6,SX7E
20170921,135.6,SX7E
20170922,135.88,SX7E
20170925,134.14,SX7E
20170926,134.14,SX7E
20170927,137.23,SX7E
20170928,137.38,SX7E
20170929,138.38,SX7E
20171002,137.66,SX7E
20171003,137.82,SX7E
20171004,134.86,SX7E
20171005,137.01,SX7E
20171006,136.69,SX7E
20171009,136.18,SX7E
20171010,134.71,SX7E
20171011,135.5,SX7E
20171012,134.68,SX7E
20171013,133.66,SX7E
20171016,133.46,SX7E
20171017,133.81,SX7E
20171018,134.91,SX7E
20171019,133.89,SX7E
20171020,135.23,SX7E
20171023,134.22,SX7E
20171024,135.98,SX7E
20171025,135.52,SX7E
20171026,137.08,SX7E
20171027,135.53,SX7E
20171030,136.51,SX7E
20171031,135.64,SX7E
20171101,135.66,SX7E
20171102,135.89,SX7E
20171103,133.9,SX7E
20171106,132.63,SX7E
20171107,132.46,SX7E
